Epoch [107/4000], Loss_train: 87.6245, PSNR_train: 34.2826, Loss_valid: 48.8946, PSNR_valid: 32.7006, Time_cost: 17.03 seconds
Epoch [108/4000], Loss_train: 88.2990, PSNR_train: 33.8091, Loss_valid: 48.8490, PSNR_valid: 32.7054, Time_cost: 16.71 seconds
Epoch [109/4000], Loss_train: 88.6838, PSNR_train: 34.1785, Loss_valid: 48.8001, PSNR_valid: 32.7111, Time_cost: 16.64 seconds
Epoch [110/4000], Loss_train: 79.2066, PSNR_train: 34.5239, Loss_valid: 48.7501, PSNR_valid: 32.7172, Time_cost: 17.03 seconds
Epoch [111/4000], Loss_train: 86.2122, PSNR_train: 33.9356, Loss_valid: 48.7047, PSNR_valid: 32.7224, Time_cost: 16.81 seconds
Epoch [112/4000], Loss_train: 82.0956, PSNR_train: 33.9523, Loss_valid: 48.6575, PSNR_valid: 32.7280, Time_cost: 16.99 seconds
Epoch [113/4000], Loss_train: 86.1528, PSNR_train: 33.9197, Loss_valid: 48.6099, PSNR_valid: 32.7338, Time_cost: 17.01 seconds
Epoch [114/4000], Loss_train: 83.1020, PSNR_train: 34.0447, Loss_valid: 48.5648, PSNR_valid: 32.7389, Time_cost: 16.92 seconds
Epoch [115/4000], Loss_train: 82.5552, PSNR_train: 33.7631, Loss_valid: 48.5192, PSNR_valid: 32.7439, Time_cost: 16.91 seconds
Epoch [116/4000], Loss_train: 81.2585, PSNR_train: 34.1598, Loss_valid: 48.4737, PSNR_valid: 32.7491, Time_cost: 16.96 seconds
Epoch [117/4000], Loss_train: 89.6906, PSNR_train: 34.0860, Loss_valid: 48.4306, PSNR_valid: 32.7541, Time_cost: 16.90 seconds
Epoch [118/4000], Loss_train: 81.8842, PSNR_train: 34.0687, Loss_valid: 48.3857, PSNR_valid: 32.7598, Time_cost: 16.76 seconds
Epoch [119/4000], Loss_train: 84.9884, PSNR_train: 34.3193, Loss_valid: 48.3393, PSNR_valid: 32.7653, Time_cost: 17.15 seconds
Epoch [120/4000], Loss_train: 90.9113, PSNR_train: 33.6835, Loss_valid: 48.2964, PSNR_valid: 32.7699, Time_cost: 17.09 seconds
Epoch [121/4000], Loss_train: 88.6992, PSNR_train: 34.0034, Loss_valid: 48.2511, PSNR_valid: 32.7757, Time_cost: 17.18 seconds
Epoch [122/4000], Loss_train: 83.6572, PSNR_train: 34.3189, Loss_valid: 48.2092, PSNR_valid: 32.7800, Time_cost: 16.83 seconds
Epoch [123/4000], Loss_train: 86.8371, PSNR_train: 33.9781, Loss_valid: 48.1633, PSNR_valid: 32.7857, Time_cost: 17.13 seconds
Epoch [124/4000], Loss_train: 79.9035, PSNR_train: 34.5716, Loss_valid: 48.1253, PSNR_valid: 32.7901, Time_cost: 16.80 seconds
Epoch [125/4000], Loss_train: 87.7466, PSNR_train: 33.9136, Loss_valid: 48.0857, PSNR_valid: 32.7944, Time_cost: 16.78 seconds
Epoch [126/4000], Loss_train: 90.6816, PSNR_train: 34.0498, Loss_valid: 48.0436, PSNR_valid: 32.7998, Time_cost: 16.94 seconds
Epoch [127/4000], Loss_train: 83.6025, PSNR_train: 33.9128, Loss_valid: 48.0045, PSNR_valid: 32.8037, Time_cost: 17.13 seconds
Epoch [128/4000], Loss_train: 86.1438, PSNR_train: 33.7669, Loss_valid: 47.9612, PSNR_valid: 32.8096, Time_cost: 17.11 seconds
Epoch [129/4000], Loss_train: 90.7377, PSNR_train: 33.8135, Loss_valid: 47.9221, PSNR_valid: 32.8141, Time_cost: 16.99 seconds
Epoch [130/4000], Loss_train: 82.9005, PSNR_train: 34.1650, Loss_valid: 47.8895, PSNR_valid: 32.8179, Time_cost: 16.83 seconds
Epoch [131/4000], Loss_train: 84.1018, PSNR_train: 34.6583, Loss_valid: 47.8538, PSNR_valid: 32.8224, Time_cost: 16.89 seconds
Epoch [132/4000], Loss_train: 87.3335, PSNR_train: 34.3901, Loss_valid: 47.8119, PSNR_valid: 32.8274, Time_cost: 16.82 seconds
Epoch [133/4000], Loss_train: 88.5932, PSNR_train: 34.1120, Loss_valid: 47.7839, PSNR_valid: 32.8300, Time_cost: 16.97 seconds
Epoch [134/4000], Loss_train: 81.5622, PSNR_train: 34.3927, Loss_valid: 47.7482, PSNR_valid: 32.8348, Time_cost: 17.15 seconds
Epoch [135/4000], Loss_train: 91.7227, PSNR_train: 34.2868, Loss_valid: 47.7133, PSNR_valid: 32.8386, Time_cost: 16.75 seconds
Epoch [136/4000], Loss_train: 80.7815, PSNR_train: 34.4705, Loss_valid: 47.6783, PSNR_valid: 32.8430, Time_cost: 16.76 seconds
Epoch [137/4000], Loss_train: 83.2077, PSNR_train: 34.3401, Loss_valid: 47.6431, PSNR_valid: 32.8471, Time_cost: 16.70 seconds
Epoch [138/4000], Loss_train: 82.6576, PSNR_train: 33.9584, Loss_valid: 47.6035, PSNR_valid: 32.8518, Time_cost: 16.75 seconds
Epoch [139/4000], Loss_train: 90.0494, PSNR_train: 34.2269, Loss_valid: 47.5742, PSNR_valid: 32.8552, Time_cost: 16.89 seconds
Epoch [140/4000], Loss_train: 84.2223, PSNR_train: 34.3168, Loss_valid: 47.5372, PSNR_valid: 32.8595, Time_cost: 16.95 seconds
Epoch [141/4000], Loss_train: 85.5742, PSNR_train: 34.0221, Loss_valid: 47.5037, PSNR_valid: 32.8639, Time_cost: 17.05 seconds
Epoch [142/4000], Loss_train: 80.2383, PSNR_train: 34.4079, Loss_valid: 47.4762, PSNR_valid: 32.8664, Time_cost: 16.97 seconds
Epoch [143/4000], Loss_train: 86.1237, PSNR_train: 34.4034, Loss_valid: 47.4491, PSNR_valid: 32.8700, Time_cost: 16.96 seconds
Epoch [144/4000], Loss_train: 91.5886, PSNR_train: 34.3848, Loss_valid: 47.4147, PSNR_valid: 32.8741, Time_cost: 16.88 seconds
Epoch [145/4000], Loss_train: 90.0514, PSNR_train: 34.2183, Loss_valid: 47.3836, PSNR_valid: 32.8781, Time_cost: 16.90 seconds
Epoch [146/4000], Loss_train: 86.9470, PSNR_train: 34.2236, Loss_valid: 47.3543, PSNR_valid: 32.8817, Time_cost: 17.31 seconds
Epoch [147/4000], Loss_train: 90.8524, PSNR_train: 34.1017, Loss_valid: 47.3202, PSNR_valid: 32.8859, Time_cost: 17.11 seconds
Epoch [148/4000], Loss_train: 79.6998, PSNR_train: 34.7343, Loss_valid: 47.2893, PSNR_valid: 32.8895, Time_cost: 17.32 seconds
Epoch [149/4000], Loss_train: 84.0477, PSNR_train: 34.4696, Loss_valid: 47.2622, PSNR_valid: 32.8927, Time_cost: 16.99 seconds
Epoch [150/4000], Loss_train: 84.8044, PSNR_train: 34.6014, Loss_valid: 47.2257, PSNR_valid: 32.8973, Time_cost: 17.09 seconds
Epoch [151/4000], Loss_train: 89.7681, PSNR_train: 34.5172, Loss_valid: 47.2003, PSNR_valid: 32.8999, Time_cost: 16.95 seconds
Epoch [152/4000], Loss_train: 80.3463, PSNR_train: 34.6699, Loss_valid: 47.1726, PSNR_valid: 32.9034, Time_cost: 17.00 seconds
Epoch [153/4000], Loss_train: 81.9418, PSNR_train: 34.5935, Loss_valid: 47.1424, PSNR_valid: 32.9073, Time_cost: 16.83 seconds
Epoch [154/4000], Loss_train: 92.2449, PSNR_train: 34.2488, Loss_valid: 47.1142, PSNR_valid: 32.9102, Time_cost: 17.09 seconds
Epoch [155/4000], Loss_train: 85.5574, PSNR_train: 34.3803, Loss_valid: 47.0891, PSNR_valid: 32.9136, Time_cost: 17.10 seconds
Epoch [156/4000], Loss_train: 81.9542, PSNR_train: 34.7652, Loss_valid: 47.0626, PSNR_valid: 32.9165, Time_cost: 17.10 seconds
Epoch [157/4000], Loss_train: 85.9889, PSNR_train: 34.3319, Loss_valid: 47.0336, PSNR_valid: 32.9200, Time_cost: 17.08 seconds
Epoch [158/4000], Loss_train: 78.8160, PSNR_train: 35.0306, Loss_valid: 47.0098, PSNR_valid: 32.9232, Time_cost: 17.04 seconds
Epoch [159/4000], Loss_train: 84.5970, PSNR_train: 34.4568, Loss_valid: 46.9794, PSNR_valid: 32.9265, Time_cost: 16.90 seconds
Epoch [160/4000], Loss_train: 75.7836, PSNR_train: 34.9334, Loss_valid: 46.9599, PSNR_valid: 32.9289, Time_cost: 16.96 seconds
Epoch [161/4000], Loss_train: 81.5545, PSNR_train: 34.5846, Loss_valid: 46.9284, PSNR_valid: 32.9326, Time_cost: 17.03 seconds
Epoch [162/4000], Loss_train: 80.1832, PSNR_train: 34.5724, Loss_valid: 46.9130, PSNR_valid: 32.9339, Time_cost: 17.31 seconds
Epoch [163/4000], Loss_train: 79.0177, PSNR_train: 34.6217, Loss_valid: 46.8785, PSNR_valid: 32.9390, Time_cost: 17.03 seconds
Epoch [164/4000], Loss_train: 86.2580, PSNR_train: 34.3404, Loss_valid: 46.8600, PSNR_valid: 32.9405, Time_cost: 17.08 seconds
Epoch [165/4000], Loss_train: 81.7583, PSNR_train: 34.8639, Loss_valid: 46.8417, PSNR_valid: 32.9431, Time_cost: 17.02 seconds
Epoch [166/4000], Loss_train: 84.3455, PSNR_train: 34.5942, Loss_valid: 46.8095, PSNR_valid: 32.9472, Time_cost: 16.95 seconds
Epoch [167/4000], Loss_train: 79.2045, PSNR_train: 35.2188, Loss_valid: 46.7921, PSNR_valid: 32.9493, Time_cost: 16.88 seconds
Epoch [168/4000], Loss_train: 86.9695, PSNR_train: 34.6079, Loss_valid: 46.7683, PSNR_valid: 32.9519, Time_cost: 17.31 seconds
Epoch [169/4000], Loss_train: 78.5684, PSNR_train: 34.8318, Loss_valid: 46.7500, PSNR_valid: 32.9545, Time_cost: 17.29 seconds
Epoch [170/4000], Loss_train: 80.4498, PSNR_train: 34.3772, Loss_valid: 46.7238, PSNR_valid: 32.9574, Time_cost: 17.48 seconds
Epoch [171/4000], Loss_train: 83.3485, PSNR_train: 34.6157, Loss_valid: 46.7069, PSNR_valid: 32.9595, Time_cost: 17.00 seconds
Epoch [172/4000], Loss_train: 86.2019, PSNR_train: 34.3696, Loss_valid: 46.6790, PSNR_valid: 32.9636, Time_cost: 17.17 seconds
Epoch [173/4000], Loss_train: 81.4192, PSNR_train: 34.6679, Loss_valid: 46.6609, PSNR_valid: 32.9652, Time_cost: 16.92 seconds
Epoch [174/4000], Loss_train: 79.5455, PSNR_train: 34.7624, Loss_valid: 46.6402, PSNR_valid: 32.9676, Time_cost: 16.99 seconds
Epoch [175/4000], Loss_train: 86.3314, PSNR_train: 34.7562, Loss_valid: 46.6255, PSNR_valid: 32.9691, Time_cost: 17.11 seconds
Epoch [176/4000], Loss_train: 81.5616, PSNR_train: 34.6921, Loss_valid: 46.6054, PSNR_valid: 32.9716, Time_cost: 17.18 seconds
Epoch [177/4000], Loss_train: 84.0563, PSNR_train: 34.5607, Loss_valid: 46.5884, PSNR_valid: 32.9735, Time_cost: 16.91 seconds
Epoch [178/4000], Loss_train: 81.7841, PSNR_train: 34.7070, Loss_valid: 46.5656, PSNR_valid: 32.9771, Time_cost: 16.97 seconds
Epoch [179/4000], Loss_train: 82.9673, PSNR_train: 34.5403, Loss_valid: 46.5599, PSNR_valid: 32.9771, Time_cost: 17.21 seconds
Epoch [180/4000], Loss_train: 80.3587, PSNR_train: 34.9408, Loss_valid: 46.5411, PSNR_valid: 32.9802, Time_cost: 17.07 seconds
Epoch [181/4000], Loss_train: 92.8392, PSNR_train: 34.5645, Loss_valid: 46.5309, PSNR_valid: 32.9811, Time_cost: 17.14 seconds
